N° artículo en tienda,EAN / GTIN / código barras,Número del fabricante (HAN/MPN),Fabricante / Marca,Nombre del producto,Precio,Precio especial,Precio original,Plazo de entrega,Categoría del producto en la tienda,Descripción del producto,Características del producto / Otros atributos,URL del producto,URLimagen_1,URLimagen_2,URLimagen_3,Color,Talla,Transferencia,Transferencia / Paypal Austria,Tarjeta de crédito,Paypal,Sofortüberweisung,Domiciliación,Reembolso,Comentario sobre los gastos de envío,Precio base,Cupón de descuento,Clase de eficiencia energética,Unidades
DV401024,,DV401024,EISCO - Electronic Instrumentation,Aguja magnética con soporte,13.79,,13.79,1 - 14 días,Agulhas Magnéticas,"<h1>Agulha magnética com suporte</h1>
<p>Agulha magnética com suporte ideal para estudo de fenómenos magnéticos, como o funcionamento de uma bússola, teste de pólos magnéticos, encontrar a direção de uma corrente elétrica, entre outros.</p>
<p>O pilar é fabricado num metal não magnético com ponta de aço carbono. Esta estrutura está assente num suporte estável e resistente. O pólo Norte é representado pela agulha a vermelho, enquanto o pólo Sul é indicado pela cor branca.</p>
<p>Como se trata de uma ferramenta de demonstração simples mas, ao mesmo tempo, completa, pode ser utilizada em contexto escolar ou universitário.</p>
<p><br> <strong>Características</strong><br> • Altura total: 110 mm</p>","Agulhas magnéticas, Física, Magnetismo",https://abcescolar.pt/es/products/agulha-magnetica-com-suporte,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/Agulha-magnetica-com-suporte-fisica-abc-escolar.jpg?v=1624894761,,,,N/A,,,,,,,,4.5 €,13.79,,,6
RGAL1165,,RGAL1165,"AGA - Álcool e Géneros Alimentares, S.A.",Alcohol etílico 70%,1.33,,1.33,1 - 14 días,Álcool Etílico,"<p>Embalagem de Álcool etílico 70%.</p>
<p><meta charset=""utf-8""><span>Ver outros produtos de proteção contra a covid-19 </span><a href=""https://abcescolar.pt/collections/covid-19"" data-mce-href=""https://abcescolar.pt/collections/covid-19"" target=""_blank"">aqui</a><span>.</span></p>","Covid-19, Desinfeção, KuantoKusta",https://abcescolar.pt/es/products/alcool-etilico-70,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/alcool-etilico-70.jpg?v=1629121252,,,,N/A,,,,,,,,4.5 €,1.33,,,35
20254.1L,,20254.1L,Sordalab,Alcohol etílico desnaturalizado 95 °,11.15,,11.15,1 - 14 días,Álcool,"<p>Ethanol dénaturé avec de l'isopropanol (&lt;3%) et de la 2-butanone (&lt;3%)<br> Sinonimo : Alcool éthylique<br> Fórmula : C2H6O<br> Peso molecular : 46, 07 g/mol<br> Número CAS : 64-17-5<br> Número CE : 200-578-6</p>
  <p>Especificação :<br> Aspecto : liquide incolore<br> Pureza mínima : 95%<br> Ponto de fusão : -114°C<br> Ponto de ebulição : 78°C<br> Ponto de inflamação : 14°C c.f.<br> Densidade : 0, 803 g/cm3 à 20°C<br> Solubilidade em H2O : soluble</p>
  <p><a href=""https://cdn.shopify.com/s/files/1/0555/4277/5963/files/20254.2.5L.pdf?v=1621009006"" target=""_blank"" title=""Ficha de segurança"" rel=""noopener noreferrer""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ficha-seguranca_240x240.png?v=1621009674"" data-mce-selected=""1""></a></p>","A, Reagentes",https://abcescolar.pt/es/products/alcool-etilico-desnaturado-95,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/woocommerce-placeholder_5b5126fe-0e38-4981-95e3-f2ad4a07d270.png?v=1619618337,,,,N/A,,,,,,,,4.5 €,11.15,,,5
AGFT0010050,,AGFT0010050,Qualiquimica,Alcohol de gel de 500 ml con tapa superior,6.61,,6.61,1 - 14 días,Álcool gel,"<p>Álcool gel 500mL com tampa flip top é uma solução alcoólica em gel. Fórmula especialmente adequada para higienização eficaz das mãos.</p>
<p>Caracteriza-se pela evaporação e secagem rápida sem necessidade de enxaguar.</p>
<p>Não deixa resíduos.</p>
<p>Isento de perfumes.</p>","Covid-19, Desinfeção",https://abcescolar.pt/es/products/alcool-gel-500ml-com-tampa-flip-top,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/alcool-gel-500ml-2.jpg?v=1619625011,,,,N/A,,,,,,,,4.5 €,6.61,,,6
AG001050,,AG001050,Qualiquimica,5L Gel Alcohol,14.84,,14.84,1 - 14 días,Álcool gel,"<p>Álcool gel 5L é uma solução alcoólica em gel. Fórmula especialmente adequada para higienização eficaz das mãos.</p>
<p>Caracteriza-se pela evaporação e secagem rápida sem necessidade de enxaguar.</p>
<p>Não deixa resíduos.</p>
<p>Isento de perfumes.</p>","Covid-19, Desinfeção",https://abcescolar.pt/es/products/alcool-gel-5l,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/alcool-gel-5l-1-2.jpg?v=1619625013,,,,N/A,,,,,,,,6.99 €,14.84,,,24
NS1650,NS1650,NS1650,Nowa Szkola,Almohadón,7.30,,7.30,1 - 14 días,Almofadas,"<h1>A almofada ideal para o descanso perfeito</h1>
<p>A Almofada para catre é fabricada com material de alta qualidade, confortável e 100% algodão. Este produto é especialmente concebido para utilização em Catre Kiddy que pode encontrar <a href=""https://abcescolar.pt/products/catre-empilhavel-azul?_pos=1&amp;_sid=a87b2fc0f&amp;_ss=r"" title=""Catre empilhável Azul"" data-mce-href=""https://abcescolar.pt/products/catre-empilhavel-azul?_pos=1&amp;_sid=a87b2fc0f&amp;_ss=r"" target=""_blank"">clicando aqui</a>.</p>
<h2><strong data-mce-fragment=""1"">Um merecido descanso</strong></h2>
<p>Esta almofada indicada para uso em contexto de creche irá proporcionar às crianças o descanso que tanto necessitam.</p>
<p>Não é aconselhável lavar.</p>
<p>Conheça outros produtos de descanso <a href=""https://abcescolar.pt/collections/descanso"" title=""Descanso"" data-mce-href=""https://abcescolar.pt/collections/descanso"" target=""_blank"">clicando aqui</a>.</p>
<h2 data-mce-fragment=""1"" style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; display: inline !important;"" data-mce-style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; display: inline !important;""><strong data-mce-fragment=""1"">Características:</strong></h2>
<ul>
<li><span>Dimensões da almofada: 38 x 27 cm</span></li>
<li>Cor branca</li>
<li>100% algodão</li>
</ul>","__label:Entrega Imediata!, __label:Top Vendas!, Descanso, Pré-Escolar",https://abcescolar.pt/es/products/almofada-para-catre-kiddy,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/Almofada-para-catre-Kiddy-pre-escolar-abcescolar-1.jpg?v=1627039879,,,,N/A,,,,,,,,4.5 €,7.30,,,7
LB0182_1,BBC002,LB0182_1,"Auxilab, S.L.",Lata de porcelana,5.70,,5.70,1 - 14 días,Almofarizes,"<h1>Almofariz de porcelana com pilão</h1>
  <p>Este almofariz de porcelana com pilão foi especialmente pensado para ser utilizado em contexto escolar. </p>
  <p>Ideal para triturar e misturar substâncias de pouca dureza. A sua base plana confere-lhe segurança durante a sua utilização. O seu bico facilita na transferência das soluções. </p>
  <p>Disponível em várias capacidades.<br> <br><br></p>","Almofarizes, Laboratório, Porcelana",https://abcescolar.pt/es/products/almofariz-de-porcelana-com-pilao,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/almofariz-de-porcelana-com-pilao.jpg?v=1629192658,,,,N/A,,,,,,,,4.5 €,5.70,,,14
LB0184,BBC004,LB0184,"Auxilab, S.L.",Lata de porcelana,9.84,,9.84,1 - 14 días,Almofarizes,"<h1>Almofariz de porcelana com pilão</h1>
  <p>Este almofariz de porcelana com pilão foi especialmente pensado para ser utilizado em contexto escolar. </p>
  <p>Ideal para triturar e misturar substâncias de pouca dureza. A sua base plana confere-lhe segurança durante a sua utilização. O seu bico facilita na transferência das soluções. </p>
  <p>Disponível em várias capacidades.<br> <br><br></p>","Almofarizes, Laboratório, Porcelana",https://abcescolar.pt/es/products/almofariz-de-porcelana-com-pilao,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/almofariz-de-porcelana-com-pilao.jpg?v=1629192658,,,,N/A,,,,,,,,4.5 €,9.84,,,11
15A475.1609,ST005.250G,15A475.1609,Sordalab,Aminofenol,49.66,,49.66,1 - 14 días,Aminofenol,"<p>Sinónimo : Para-aminophénol<br> Fórmula : C<sub>6</sub>H<sub>7</sub>NO<br> Peso molecular : 109, 13 g/mol<br> Número CAS : 123-30-8<br> Número CE : 204-616-2</p>
<p>Especificação :<br> Aspecto : poudre blanche-beige<br> Pureza mínima : 99%<br> Ponto de fusão : 185-189°C<br> Ponto de inflamação : 195°C c.f.</p>
<p><a href=""https://cdn.shopify.com/s/files/1/0555/4277/5963/files/15A475.1609.pdf?v=1621009005"" title=""Ficha de segurança"" target=""_blank""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ficha-seguranca_240x240.png?v=1621009674"" data-mce-selected=""1""></a></p>","4, Reagentes",https://abcescolar.pt/es/products/aminofenol,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/woocommerce-placeholder_b8fb039a-7dd1-4306-9e6b-179d73b45615.png?v=1619619225,,,,N/A,,,,,,,,4.5 €,49.66,,,1
PR112E,E,PR112E,Johannes Lieder GmbH & Co. KG,Ameba proteus,19.88,,19.88,1 - 14 días,Preparações Microscópicas,"<p>Amoeba proteus, u.i. mostrando núcleo, endoplasma, ectoplasma, pseudópodes</p>","Biologia e Geologia, Microscopia, Preparações Microscópicas",https://abcescolar.pt/es/products/amoeba-proteus,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/preparacao-microscopica_86fc9507-1200-496c-b5fe-8c8321f8165f.jpg?v=1643302233,,,,N/A,,,,,,,,4.5 €,19.88,,,1
R-CALCÁRIO,,R-CALCÁRIO,"Biofossil - Imagens rochas e minerais, Lda",Muestras de roca/mineral (variadas),41.38,,41.38,1 - 14 días,,Amostras de várias rochas e minerais para crianças.,"Minerais, Rochas",https://abcescolar.pt/es/products/amostras-de-rochas-minerais-variadas,https://cdn.shopify.com/s/files/1/0555/4277/5963/products/andesito-abc-escolar_d21e558c-1319-496f-903e-91060f6e61d9.jpg?v=1666259999,,,,N/A,,,,,,,,4.5 €,41.38,,,1
PQB001,,PQB001,"Auxilab, S.L.",Período de partida en 19/26,15.38,,15.38,1 - 14 días,,"<p>A Ampola de Decantação Periforme IN 19/26 é um instrumento de laboratório essencial para a separação de líquidos imiscíveis. Com um formato periforme otimizado para maximizar a eficiência na decantação, esta ampola permite uma separação clara e precisa das camadas de líquido. Equipada com uma junta IN 19/26, garante uma conexão segura e resistente a vazamentos com outros equipamentos de laboratório. Fabricada em vidro de alta qualidade, é resistente a produtos químicos e a choques térmicos, tornando-se uma escolha durável para uso frequente em laboratório. Ideal para aplicações em química analítica e processos que requerem a purificação de substâncias.</p>
<!---->","Laboratório, Material de apoio, Material de apoio e suporte",https://abcescolar.pt/es/products/ampola-de-decantacao-periforme-in-19-26,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ObtenerImagen_a0c88f6f-73fe-44e4-a0e1-45acc3f3b9de.jpg?v=1719830101,,,,N/A,,,,,,,,4.5 €,15.38,,,1
12394221,,12394221,"Auxilab, S.L.",Período de partida en 19/26,27.80,,27.80,1 - 14 días,,"<p>A Ampola de Decantação Periforme IN 19/26 é um instrumento de laboratório essencial para a separação de líquidos imiscíveis. Com um formato periforme otimizado para maximizar a eficiência na decantação, esta ampola permite uma separação clara e precisa das camadas de líquido. Equipada com uma junta IN 19/26, garante uma conexão segura e resistente a vazamentos com outros equipamentos de laboratório. Fabricada em vidro de alta qualidade, é resistente a produtos químicos e a choques térmicos, tornando-se uma escolha durável para uso frequente em laboratório. Ideal para aplicações em química analítica e processos que requerem a purificação de substâncias.</p>
<!---->","Laboratório, Material de apoio, Material de apoio e suporte",https://abcescolar.pt/es/products/ampola-de-decantacao-periforme-in-19-26,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/ObtenerImagen_a0c88f6f-73fe-44e4-a0e1-45acc3f3b9de.jpg?v=1719830101,,,,N/A,,,,,,,,4.5 €,27.80,,,10
INCL032,6CLIL,INCL032,TFH Europa AB,Manada,21.19,,21.19,1 - 14 días,Ampulhetas,"<h1>Ampulheta colorida</h1>
 <p>Com esta ampulheta colorida as crianças conseguem explorar, experimentar e aprender através de experiências sensoriais.</p>
 <p>Este brinquedo reconfortante proporciona uma experiência sensorial divertida e visualmente estimulante e relaxante, contribuindo para a diminuição dos níveis de ansiedade e de tensão da criança.</p>
 <h2><strong>Características</strong></h2>
 <ul>
 <li>Dimensões: 7 x 12 cm</li>
 <li>Cores variáveis</li>
 </ul>","Educação inclusiva, Estimulação sensorial, Estimulação visual, Motricidade fina, Psicomotricidade",https://abcescolar.pt/es/products/ampulheta-colorida,https://cdn.shopify.com/s/files/1/0555/4277/5963/files/3LQTC_1.jpg?v=1696241990,,,,N/A,,,,,,,,6.99 €,21.19,,,1
